场站,阈值,分段类别,分段数,异常分段数,异常分段占比,覆盖分钟数,纳入统计分钟数,原异常分钟数,原异常分钟占纳入统计分钟比例,原异常程度总和,原平均异常程度_按异常分钟,原最大异常程度,原偏离程度总和,原平均偏离程度_按纳入统计分钟,原最大偏离程度
LGXRFD,0.14,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.15,重复正功率>0分段,75,56,0.7466666666666667,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.15,重复正功率=0，且冻结风机数=0,42,6,0.14285714285714285,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.15,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.16,重复正功率>0分段,75,56,0.7466666666666667,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.16,重复正功率=0，且冻结风机数=0,42,5,0.11904761904761904,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.16,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.17,重复正功率>0分段,75,54,0.72,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.17,重复正功率=0，且冻结风机数=0,42,4,0.09523809523809523,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.17,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.18,重复正功率>0分段,75,54,0.72,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
LGXRFD,0.18,重复正功率=0，且冻结风机数=0,42,3,0.07142857142857142,403388.0,397108.0,34163.0,0.08602949323609699,8928.521816,0.2613506371220326,53.303411,77370.581427,0.19483511142308893,53.804599
LGXRFD,0.18,重复正功率=0，且冻结风机数>0,0,0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0
LGXRFD,0.19,重复正功率>0分段,75,54,0.72,46522.0,46475.0,11343.0,0.244066702528241,11479.848027,1.0120645355726,23.216655,28348.532877,0.6099738112318451,23.75845
