场站,阈值,分段类别,最终处理方式,最终处理细分类型,分段数,分段占比,覆盖分钟数,覆盖分钟占比,纳入统计分钟数,纳入统计分钟占比,原异常分钟数,修正后异常分钟数,异常分钟数净变化量（修正后-原）,有效异常分钟数改善量,原异常程度总和,修正后异常程度总和,异常程度净变化量（修正后-原）,有效异常程度改善量,有效异常程度改善率,原偏离程度总和,修正后偏离程度总和,偏离程度净变化量（修正后-原）,有效偏离程度改善量,有效偏离程度改善率,总分段数,总覆盖分钟数,总纳入统计分钟数,总原异常分钟数,总修正后异常分钟数,总原异常程度,总修正后异常程度,总原偏离程度,总修正后偏离程度
JMZSFD,0.05,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,52,0.2311111111111111,12868.0,0.0286012758107177,12858.0,0.028985768614305327,6.0,66.0,60.0,0.0,1.747528,22515.127318,22513.37979,0.0,0.0,44.253269,22576.082499000004,22531.829230000003,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.05,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,4,0.017777777777777778,606.0,0.0013469360538774422,606.0,0.0013661048203662332,43.0,9.0,-34.0,35.0,10.253911999999998,3.182973,-7.070938999999997,9.505586999999998,0.9270205361621984,99.639512,75.293661,-24.345850999999996,24.345851,0.24433932394209237,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.05,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,78,0.3466666666666667,42841.0,0.09522126647551732,42811.0,0.0965087680935624,34758.0,5466.0,-29292.0,0.0,37377.15994,1522220.235657,1484843.075717,0.0,0.0,58162.665251,1529887.0146510003,1471724.3494000002,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.05,重复正功率=0，且冻结风机数>0,正常,重复正功率=0且冻结风机数>0｜正常,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.05,重复正功率=0，且冻结风机数>0,标记为异常分段,重复正功率=0且冻结风机数>0｜标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.05,重复正功率=0，且冻结风机数=0,正常,重复正功率=0且冻结风机数=0｜正常,34,0.1511111111111111,64330.0,0.14298415238603276,58284.0,0.13138952698057021,2422.0,2422.0,0.0,0.0,540.611234,540.611234,0.0,0.0,0.0,8969.863023,8969.863023,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.05,重复正功率=0，且冻结风机数=0,标记为异常分段,重复正功率=0且冻结风机数=0｜标记为异常分段,57,0.25333333333333335,329265.0,0.7318463692738548,329038.0,0.7417498314911959,30180.0,30180.0,0.0,0.0,7012.243698,7012.243698,0.0,0.0,0.0,67957.38517200001,67957.38517200001,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.06,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,52,0.2311111111111111,12868.0,0.0286012758107177,12858.0,0.028985768614305327,6.0,66.0,60.0,0.0,1.747528,22515.127318,22513.37979,0.0,0.0,44.253269,22576.082499000004,22531.829230000003,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.06,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,4,0.017777777777777778,606.0,0.0013469360538774422,606.0,0.0013661048203662332,43.0,9.0,-34.0,35.0,10.253911999999998,3.182973,-7.070938999999997,9.505586999999998,0.9270205361621984,99.639512,75.293661,-24.345850999999996,24.345851,0.24433932394209237,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.06,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,78,0.3466666666666667,42841.0,0.09522126647551732,42811.0,0.0965087680935624,34758.0,5466.0,-29292.0,0.0,37377.15994,1522220.235657,1484843.075717,0.0,0.0,58162.665251,1529887.0146510003,1471724.3494000002,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.06,重复正功率=0，且冻结风机数>0,正常,重复正功率=0且冻结风机数>0｜正常,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.06,重复正功率=0，且冻结风机数>0,标记为异常分段,重复正功率=0且冻结风机数>0｜标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.06,重复正功率=0，且冻结风机数=0,正常,重复正功率=0且冻结风机数=0｜正常,40,0.17777777777777778,78261.0,0.17394812295792492,72204.0,0.1627693604780916,3150.0,3150.0,0.0,0.0,650.411177,650.411177,0.0,0.0,0.0,11251.320858,11251.320858,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.06,重复正功率=0，且冻结风机数=0,标记为异常分段,重复正功率=0且冻结风机数=0｜标记为异常分段,51,0.22666666666666666,315334.0,0.7008823987019626,315118.0,0.7103699979936744,29452.0,29452.0,0.0,0.0,6902.443755,6902.443755,0.0,0.0,0.0,65675.927337,65675.927337,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.07,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,53,0.23555555555555555,13038.0,0.028979129159165166,13028.0,0.029368999339490574,17.0,77.0,60.0,0.0,3.0497949999999996,22516.429679999997,22513.379885,0.0,0.0,72.50236699999999,22604.331993000003,22531.829626000002,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.07,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,4,0.017777777777777778,606.0,0.0013469360538774422,606.0,0.0013661048203662332,43.0,9.0,-34.0,35.0,10.253911999999998,3.182973,-7.070938999999997,9.505586999999998,0.9270205361621984,99.639512,75.293661,-24.345850999999996,24.345851,0.24433932394209237,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.07,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,77,0.3422222222222222,42671.0,0.09484341312706986,42641.0,0.09612553736837716,34747.0,5455.0,-29292.0,0.0,37375.85767299999,1522218.9332949999,1484843.0756219998,0.0,0.0,58134.416153000006,1529858.7651570002,1471724.3490040002,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.07,重复正功率=0，且冻结风机数>0,正常,重复正功率=0且冻结风机数>0｜正常,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.07,重复正功率=0，且冻结风机数>0,标记为异常分段,重复正功率=0且冻结风机数>0｜标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.07,重复正功率=0，且冻结风机数=0,正常,重复正功率=0且冻结风机数=0｜正常,48,0.21333333333333335,119258.0,0.265070791936165,113193.0,0.25517079691702155,5828.0,5828.0,0.0,0.0,1200.6008940000002,1200.6008940000002,0.0,0.0,0.0,18513.655615,18513.655615,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.07,重复正功率=0，且冻结风机数=0,标记为异常分段,重复正功率=0且冻结风机数=0｜标记为异常分段,43,0.19111111111111112,274337.0,0.6097597297237225,274129.0,0.6179685615547446,26774.0,26774.0,0.0,0.0,6352.254038,6352.254038,0.0,0.0,0.0,58413.592580000004,58413.592580000004,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.08,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,54,0.24,13051.0,0.029008023826987618,13041.0,0.029398305218475328,18.0,78.0,60.0,0.0,3.1262169999999996,22516.506107999998,22513.379890999997,0.0,0.0,75.057564,22606.88722,22531.829656,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.08,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,5,0.022222222222222223,34028.0,0.07563290435864951,34016.0,0.07668221381118448,29584.0,2401.0,-27183.0,27184.0,26691.203423,532.2623299999999,-26158.941092999998,26161.375741,0.9801497267244442,43347.992279,6140.933395000001,-37207.058884,37207.058884,0.8583340756481821,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.08,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,75,0.3333333333333333,9236.0,0.02052855015447534,9218.0,0.020780122498574156,5205.0,3062.0,-2143.0,0.0,10694.83174,1521689.7775100002,1510994.94577,0.0,0.0,14883.508189,1523790.5701960002,1508907.0620070002,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.08,重复正功率=0，且冻结风机数>0,正常,重复正功率=0且冻结风机数>0｜正常,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.08,重复正功率=0，且冻结风机数>0,标记为异常分段,重复正功率=0且冻结风机数>0｜标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.08,重复正功率=0，且冻结风机数=0,正常,重复正功率=0且冻结风机数=0｜正常,56,0.24888888888888888,192846.0,0.4286323931452957,186705.0,0.4208887796806561,11394.0,11394.0,0.0,0.0,2508.998955,2508.998955,0.0,0.0,0.0,32504.902611999998,32504.902611999998,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.08,重复正功率=0，且冻结风机数=0,标记为异常分段,重复正功率=0且冻结风机数=0｜标记为异常分段,35,0.15555555555555556,200749.0,0.4461981285145918,200617.0,0.45225057879110997,21208.0,21208.0,0.0,0.0,5043.855977,5043.855977,0.0,0.0,0.0,44422.345583,44422.345583,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.09,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,56,0.24888888888888888,13390.0,0.02976150785712698,13380.0,0.03016251237046238,47.0,302.0,255.0,0.0,7.004004,22574.942064,22567.93806,0.0,0.0,148.163339,22808.731764999997,22660.568425999998,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.09,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,5,0.022222222222222223,34028.0,0.07563290435864951,34016.0,0.07668221381118448,29584.0,2401.0,-27183.0,27184.0,26691.203423,532.2623299999999,-26158.941092999998,26161.375741,0.9801497267244442,43347.992279,6140.933395000001,-37207.058884,37207.058884,0.8583340756481821,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.09,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,73,0.3244444444444444,8897.0,0.01977506612433598,8879.0,0.020015915346587105,5176.0,2838.0,-2338.0,0.0,10690.953953,1521631.341554,1510940.387601,0.0,0.0,14810.402413999998,1523588.725651,1508778.323237,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.09,重复正功率=0，且冻结风机数>0,正常,重复正功率=0且冻结风机数>0｜正常,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.09,重复正功率=0，且冻结风机数>0,标记为异常分段,重复正功率=0且冻结风机数>0｜标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.09,重复正功率=0，且冻结风机数=0,正常,重复正功率=0且冻结风机数=0｜正常,64,0.28444444444444444,256130.0,0.5692916361049988,249907.0,0.5633649461109972,16741.0,16741.0,0.0,0.0,3632.28394,3632.28394,0.0,0.0,0.0,45157.470592,45157.470592,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.09,重复正功率=0，且冻结风机数=0,标记为异常分段,重复正功率=0且冻结风机数=0｜标记为异常分段,27,0.12,137465.0,0.30553888555488873,137415.0,0.3097744123607689,15861.0,15861.0,0.0,0.0,3920.570992,3920.570992,0.0,0.0,0.0,31769.777602999995,31769.777602999995,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.1,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,56,0.24888888888888888,13390.0,0.02976150785712698,13380.0,0.03016251237046238,47.0,302.0,255.0,0.0,7.004004,22574.942064,22567.93806,0.0,0.0,148.163339,22808.731764999997,22660.568425999998,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.1,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,5,0.022222222222222223,34028.0,0.07563290435864951,34016.0,0.07668221381118448,29584.0,2401.0,-27183.0,27184.0,26691.203423,532.2623299999999,-26158.941092999998,26161.375741,0.9801497267244442,43347.992279,6140.933395000001,-37207.058884,37207.058884,0.8583340756481821,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.1,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,73,0.3244444444444444,8897.0,0.01977506612433598,8879.0,0.020015915346587105,5176.0,2838.0,-2338.0,0.0,10690.953953,1521631.341554,1510940.387601,0.0,0.0,14810.402413999998,1523588.725651,1508778.323237,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.1,重复正功率=0，且冻结风机数>0,正常,重复正功率=0且冻结风机数>0｜正常,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.1,重复正功率=0，且冻结风机数>0,标记为异常分段,重复正功率=0且冻结风机数>0｜标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.1,重复正功率=0，且冻结风机数=0,正常,重复正功率=0且冻结风机数=0｜正常,70,0.3111111111111111,307929.0,0.6844235513769421,301680.0,0.6800767363169724,21739.0,21739.0,0.0,0.0,4596.9671100000005,4596.9671100000005,0.0,0.0,0.0,56098.29834100001,56098.29834100001,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.1,重复正功率=0，且冻结风机数=0,标记为异常分段,重复正功率=0且冻结风机数=0｜标记为异常分段,21,0.09333333333333334,85666.0,0.19040697028294548,85642.0,0.19306262215479364,10863.0,10863.0,0.0,0.0,2955.887822,2955.887822,0.0,0.0,0.0,20828.949853999995,20828.949853999995,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.11,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,57,0.25333333333333335,13410.0,0.029805961192238446,13400.0,0.03020759833813123,49.0,305.0,256.0,0.0,7.125149000000001,22575.455806999995,22568.330657999995,0.0,0.0,152.011757,22815.481459,22663.469702,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.11,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,7,0.03111111111111111,36396.0,0.08089617923584717,36381.0,0.08201362948802629,31662.0,2658.0,-29004.0,29005.0,30836.071065,626.6939479999999,-30209.377117,30211.811765000002,0.9797555499634143,48611.664274,6727.072512000002,-41884.591762000004,41884.591762,0.8616160830437153,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.11,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,70,0.3111111111111111,6509.0,0.01446733791202685,6494.0,0.014639413702076434,3096.0,2578.0,-518.0,0.0,6545.965166000001,1521536.396193,1514990.431027,0.0,0.0,9542.882001000002,1522995.8368400002,1513452.9548390002,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.11,重复正功率=0，且冻结风机数>0,正常,重复正功率=0且冻结风机数>0｜正常,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.11,重复正功率=0，且冻结风机数>0,标记为异常分段,重复正功率=0且冻结风机数>0｜标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.11,重复正功率=0，且冻结风机数=0,正常,重复正功率=0且冻结风机数=0｜正常,72,0.32,315051.0,0.7002533840101354,308802.0,0.6961318494038508,22496.0,22496.0,0.0,0.0,4732.009698,4732.009698,0.0,0.0,0.0,57648.029388,57648.029388,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.11,重复正功率=0，且冻结风机数=0,标记为异常分段,重复正功率=0且冻结风机数=0｜标记为异常分段,19,0.08444444444444445,78544.0,0.17457713764975216,78520.0,0.17700750906791524,10106.0,10106.0,0.0,0.0,2820.845234,2820.845234,0.0,0.0,0.0,19279.218806999997,19279.218806999997,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.12,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,57,0.25333333333333335,13410.0,0.029805961192238446,13400.0,0.03020759833813123,49.0,305.0,256.0,0.0,7.125149000000001,22575.455806999995,22568.330657999995,0.0,0.0,152.011757,22815.481459,22663.469702,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.12,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,7,0.03111111111111111,36396.0,0.08089617923584717,36381.0,0.08201362948802629,31662.0,2658.0,-29004.0,29005.0,30836.071065,626.6939479999999,-30209.377117,30211.811765000002,0.9797555499634143,48611.664274,6727.072512000002,-41884.591762000004,41884.591762,0.8616160830437153,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.12,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,70,0.3111111111111111,6509.0,0.01446733791202685,6494.0,0.014639413702076434,3096.0,2578.0,-518.0,0.0,6545.965166000001,1521536.396193,1514990.431027,0.0,0.0,9542.882001000002,1522995.8368400002,1513452.9548390002,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.12,重复正功率=0，且冻结风机数>0,正常,重复正功率=0且冻结风机数>0｜正常,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.12,重复正功率=0，且冻结风机数>0,标记为异常分段,重复正功率=0且冻结风机数>0｜标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.12,重复正功率=0，且冻结风机数=0,正常,重复正功率=0且冻结风机数=0｜正常,77,0.3422222222222222,344913.0,0.7666266586650663,338657.0,0.7634339276415305,26005.0,26005.0,0.0,0.0,5563.570086000001,5563.570086000001,0.0,0.0,0.0,64718.350076,64718.350076,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.12,重复正功率=0，且冻结风机数=0,标记为异常分段,重复正功率=0且冻结风机数=0｜标记为异常分段,14,0.06222222222222222,48682.0,0.10820386299482118,48665.0,0.10970543083023555,6597.0,6597.0,0.0,0.0,1989.2848459999998,1989.2848459999998,0.0,0.0,0.0,12208.898119,12208.898119,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.13,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,58,0.2577777777777778,13786.0,0.030641683892334022,13776.0,0.03105521453030566,97.0,353.0,256.0,0.0,13.875325,22582.20672,22568.331394999997,0.0,0.0,213.09603399999997,22876.567730999996,22663.471696999997,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.13,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,8,0.035555555555555556,36404.0,0.08091396056989175,36389.0,0.08203166387509384,31670.0,2659.0,-29011.0,29012.0,30847.893847,626.753567,-30221.14028,30223.574928,0.9797613761867664,48627.42878,6728.279686000001,-41899.149094,41899.149093999986,0.8616361207079225,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.13,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,68,0.3022222222222222,6125.0,0.01361383387788669,6110.0,0.013773763122834464,3040.0,2529.0,-511.0,0.0,6527.392207999999,1521529.5856609999,1515002.193453,0.0,0.0,9466.033218,1522933.543394,1513467.510176,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.13,重复正功率=0，且冻结风机数>0,正常,重复正功率=0且冻结风机数>0｜正常,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.13,重复正功率=0，且冻结风机数>0,标记为异常分段,重复正功率=0且冻结风机数>0｜标记为异常分段,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.13,重复正功率=0，且冻结风机数=0,正常,重复正功率=0且冻结风机数=0｜正常,79,0.3511111111111111,367771.0,0.8174323753639616,361512.0,0.8149559171951117,28827.0,28827.0,0.0,0.0,6202.648275,6202.648275,0.0,0.0,0.0,70011.22691000001,70011.22691000001,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.13,重复正功率=0，且冻结风机数=0,标记为异常分段,重复正功率=0且冻结风机数=0｜标记为异常分段,12,0.05333333333333334,25824.0,0.05739814629592585,25810.0,0.05818344127665426,3775.0,3775.0,0.0,0.0,1350.2066569999997,1350.2066569999997,0.0,0.0,0.0,6916.021285000001,6916.021285000001,0.0,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.14,重复正功率>0分段,保留（不修正）,重复正功率>0｜保留（不修正）,58,0.2577777777777778,13786.0,0.030641683892334022,13776.0,0.03105521453030566,97.0,353.0,256.0,0.0,13.875325,22582.20672,22568.331394999997,0.0,0.0,213.09603399999997,22876.567730999996,22663.471696999997,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.14,重复正功率>0分段,修正后保留,重复正功率>0｜修正后保留,8,0.035555555555555556,36404.0,0.08091396056989175,36389.0,0.08203166387509384,31670.0,2659.0,-29011.0,29012.0,30847.893847,626.753567,-30221.14028,30223.574928,0.9797613761867664,48627.42878,6728.279686000001,-41899.149094,41899.149093999986,0.8616361207079225,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
JMZSFD,0.14,重复正功率>0分段,标记为异常分段,重复正功率>0｜标记为异常分段,68,0.3022222222222222,6125.0,0.01361383387788669,6110.0,0.013773763122834464,3040.0,2529.0,-511.0,0.0,6527.392207999999,1521529.5856609999,1515002.193453,0.0,0.0,9466.033218,1522933.543394,1513467.510176,0.0,0.0,225,449910.0,443597.0,67409.0,38143.0,44942.016312,1552291.4008799999,135233.806227,1629465.639006
